date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-06-06,223.61,227.337,221.39,226.45,226.45,370994,370994,2.84,1.27,225.79,"June 06, 16",0.0127
2016-06-03,223.48,224.39,221.05,223.6,223.6,536231,536231,0.12,0.05369608,222.7,"June 03, 16",0.0005369608
2016-06-02,222.46,224.82,221.02,224.49,224.49,704267,704267,2.03,0.91252,223.86,"June 02, 16",0.0091252
2016-06-01,221.7,223.71,218.92,222.62,222.62,595437,595437,0.92,0.41498,221.64,"June 01, 16",0.0041498
2016-05-31,215.91,223.03,213.615,222.19,222.19,1102283,1102283,6.28,2.91,220.26,"May 31, 16",0.0291
2016-05-27,211.98,216.86,211.5,215.06,215.06,418439,418439,3.08,1.45,215.04,"May 27, 16",0.0145
2016-05-26,212.66,214.115,210.23,212.05,212.05,422493,422493,-0.61,-0.28684,211.71,"May 26, 16",-0.0028684
2016-05-25,210.1,213.79,210.1,212.84,212.84,530048,530048,2.74,1.3,212.84,"May 25, 16",0.013
2016-05-24,206.18,209.95,206.04,209.68,209.68,311579,311579,3.5,1.7,209.01,"May 24, 16",0.017
2016-05-23,205.54,207.067,203.64,205.28,205.28,427594,427594,-0.26,-0.1265,205.66,"May 23, 16",-0.001265
2016-05-20,206.7,207.29,205.24,206.41,206.41,538377,538377,-0.29,-0.1403,206.29,"May 20, 16",-0.001403
2016-05-19,211.02,211.518,205.21,205.44,205.44,886298,886298,-5.58,-2.64,206.19,"May 19, 16",-0.0264
2016-05-18,210.84,214.7,208.647,212.63,212.63,893080,893080,1.79,0.84899,212.77,"May 18, 16",0.0084899
2016-05-17,204.96,213.0,203.97,210.84,210.84,1131155,1131155,5.88,2.87,210.42,"May 17, 16",0.0287
2016-05-16,201.08,205.48,200.83,205.04,205.04,482154,482154,3.96,1.97,204.31,"May 16, 16",0.0197
2016-05-13,202.5,204.21,200.66,201.57,201.57,593220,593220,-0.93,-0.45926,201.86,"May 13, 16",-0.0045926
2016-05-12,205.1,205.53,200.37,202.08,202.08,1217343,1217343,-3.02,-1.47,201.47,"May 12, 16",-0.0147
2016-05-11,204.26,206.11,203.0,204.6,204.6,962471,962471,0.34,0.16645,204.7,"May 11, 16",0.0016645
2016-05-10,203.56,206.71,203.56,204.39,204.39,484842,484842,0.83,0.40774,205.2,"May 10, 16",0.0040774
2016-05-09,203.92,204.35,202.41,203.3,203.3,714482,714482,-0.62,-0.30404,203.35,"May 09, 16",-0.0030404
2016-05-06,199.87,204.04,199.78,203.86,203.86,756074,756074,3.99,2.0,202.39,"May 06, 16",0.02
2016-05-05,201.0,202.52,199.96,200.24,200.24,634854,634854,-0.76,-0.37811,200.76,"May 05, 16",-0.0037811
2016-05-04,200.0,201.15,199.06,200.75,200.75,973800,973800,0.75,0.375,200.23,"May 04, 16",0.00375
2016-05-03,201.81,202.3,200.42,201.1,201.1,784468,784468,-0.71,-0.35182,201.02,"May 03, 16",-0.0035182
2016-05-02,203.64,204.49,201.04,202.82,202.82,671156,671156,-0.82,-0.40267,202.6,"May 02, 16",-0.0040267
2016-04-29,200.95,203.65,200.14,203.31,203.31,776029,776029,2.36,1.17,201.72,"April 29, 16",0.0117
2016-04-28,202.92,203.44,200.08,201.2,201.2,1265252,1265252,-1.72,-0.84762,201.11,"April 28, 16",-0.0084762
2016-04-27,201.18,203.78,200.75,202.92,202.92,1094510,1094510,1.74,0.8649,201.84,"April 27, 16",0.008649
2016-04-26,202.49,204.24,201.02,201.68,201.68,668489,668489,-0.81,-0.40002,202.35,"April 26, 16",-0.0040002
2016-04-25,204.66,205.3,202.545,203.9,203.9,806336,806336,-0.76,-0.37135,203.78,"April 25, 16",-0.0037135
2016-04-22,202.33,207.07,201.61,205.99,205.99,1212742,1212742,3.66,1.81,204.78,"April 22, 16",0.0181
2016-04-21,202.09,205.87,197.96,202.6,202.6,2963591,2963591,0.51,0.25236,202.38,"April 21, 16",0.0025236
2016-04-20,212.96,218.84,211.3,217.92,217.92,1205175,1205175,4.96,2.33,216.09,"April 20, 16",0.0233
2016-04-19,215.01,216.4599,208.23,211.62,211.62,864879,864879,-3.39,-1.58,211.88,"April 19, 16",-0.0158
2016-04-18,213.5,215.58,212.65,215.0,215.0,593966,593966,1.5,0.70258,214.64,"April 18, 16",0.0070258
2016-04-15,215.11,215.94,213.715,214.77,214.77,447396,447396,-0.34,-0.15806,214.72,"April 15, 16",-0.0015806
2016-04-14,213.5,216.51,212.3,214.48,214.48,888212,888212,0.98,0.45902,214.67,"April 14, 16",0.0045902
2016-04-13,206.16,215.52,204.8401,215.14,215.14,950537,950537,8.98,4.36,212.74,"April 13, 16",0.0436
2016-04-12,207.05,209.16,199.78,204.4,204.4,1159977,1159977,-2.65,-1.28,202.6,"April 12, 16",-0.0128
2016-04-11,215.3,216.42,206.39,206.7,206.7,836741,836741,-8.6,-3.99,209.34,"April 11, 16",-0.0399
2016-04-08,213.43,215.78,212.5,215.27,215.27,634153,634153,1.84,0.86211,214.42,"April 08, 16",0.0086211
2016-04-07,212.23,216.0,210.58,212.43,212.43,812716,812716,0.2,0.09423738,212.66,"April 07, 16",0.0009423738
2016-04-06,210.98,214.66,209.28,214.46,214.46,644609,644609,3.48,1.65,212.55,"April 06, 16",0.0165
2016-04-05,212.08,212.16,207.64,210.0,210.0,1002878,1002878,-2.08,-0.98076,210.13,"April 05, 16",-0.0098076
2016-04-04,221.2,221.58,214.54,214.71,214.71,610733,610733,-6.49,-2.93,216.99,"April 04, 16",-0.0293
2016-04-01,218.69,221.82,216.5,221.12,221.12,506964,506964,2.43,1.11,220.06,"April 01, 16",0.0111
2016-03-31,215.32,220.63,213.88,220.0,220.0,894811,894811,4.68,2.17,218.87,"March 31, 16",0.0217
2016-03-30,214.42,218.0,214.25,215.96,215.96,677716,677716,1.54,0.71822,216.53,"March 30, 16",0.0071822
2016-03-29,210.1,213.358,209.28,212.77,212.77,623889,623889,2.67,1.27,211.93,"March 29, 16",0.0127
2016-03-28,212.64,213.095,209.45,211.04,211.04,443318,443318,-1.6,-0.75245,210.95,"March 28, 16",-0.0075245
2016-03-24,209.42,212.35,207.11,211.77,211.77,550344,550344,2.35,1.12,210.49,"March 24, 16",0.0112
2016-03-23,210.56,213.095,209.45,209.8,209.8,602097,602097,-0.76,-0.36094,210.88,"March 23, 16",-0.0036094
2016-03-22,208.7,210.62,207.43,210.32,210.32,658060,658060,1.62,0.77623,209.6,"March 22, 16",0.0077623
2016-03-21,209.08,212.01,207.32,210.3,210.3,629281,629281,1.22,0.58351,210.26,"March 21, 16",0.0058351
2016-03-18,206.0,209.33,203.04,208.7,208.7,1763852,1763852,2.7,1.31,206.37,"March 18, 16",0.0131
2016-03-17,207.99,208.88,204.86,205.56,205.56,1361837,1361837,-2.43,-1.17,206.44,"March 17, 16",-0.0117
2016-03-16,208.91,209.86,204.75,207.34,207.34,1226417,1226417,-1.57,-0.75152,207.14,"March 16, 16",-0.0075152
2016-03-15,212.72,217.11,208.74,210.7,210.7,820990,820990,-2.02,-0.94961,211.66,"March 15, 16",-0.0094961
2016-03-14,215.62,216.64,210.48,214.87,214.87,759570,759570,-0.75,-0.34783,213.92,"March 14, 16",-0.0034783
2016-03-11,211.31,211.87,208.0001,211.6,211.6,941069,941069,0.29,0.13724,210.56,"March 11, 16",0.0013724
2016-03-10,213.26,214.69,206.73,208.06,208.06,760940,760940,-5.2,-2.44,208.83,"March 10, 16",-0.0244
2016-03-09,213.95,213.95,209.89,213.19,213.19,645736,645736,-0.76,-0.35522,212.1,"March 09, 16",-0.0035522
2016-03-08,218.27,219.73,212.29,212.64,212.64,790040,790040,-5.63,-2.58,214.3,"March 08, 16",-0.0258
2016-03-07,214.42,220.31,214.42,219.96,219.96,900932,900932,5.54,2.58,218.41,"March 07, 16",0.0258
2016-03-04,218.14,218.85,214.65,216.22,216.22,641551,641551,-1.92,-0.88017,216.45,"March 04, 16",-0.0088017
2016-03-03,215.22,218.6899,213.709,216.88,216.88,596826,596826,1.66,0.7713,216.3,"March 03, 16",0.007713
2016-03-02,212.56,215.29,210.75,214.35,214.35,831364,831364,1.79,0.84212,213.68,"March 02, 16",0.0084212
2016-03-01,212.23,213.66,209.01,213.51,213.51,986356,986356,1.28,0.60312,211.42,"March 01, 16",0.0060312
2016-02-29,213.37,214.51,210.01,210.13,210.13,721945,721945,-3.24,-1.52,211.5,"February 29, 16",-0.0152
2016-02-26,213.05,215.94,211.99,212.69,212.69,616084,616084,-0.36,-0.16897,213.74,"February 26, 16",-0.0016897
2016-02-25,211.34,212.7,208.69,212.6,212.6,575700,575700,1.26,0.5962,211.04,"February 25, 16",0.005962
2016-02-24,205.42,211.46,203.0,210.76,210.76,562090,562090,5.34,2.6,208.38,"February 24, 16",0.026
2016-02-23,209.0,213.77,206.37,206.46,206.46,771410,771410,-2.54,-1.22,209.67,"February 23, 16",-0.0122
2016-02-22,205.57,214.5,205.57,210.89,210.89,975094,975094,5.32,2.59,211.35,"February 22, 16",0.0259
2016-02-19,197.34,204.49,195.0,204.36,204.36,1019005,1019005,7.02,3.56,201.81,"February 19, 16",0.0356
2016-02-18,195.05,201.63,195.0,197.43,197.43,863992,863992,2.38,1.22,198.95,"February 18, 16",0.0122
2016-02-17,188.85,194.39,187.815,192.41,192.41,789487,789487,3.56,1.89,192.65,"February 17, 16",0.0189
2016-02-16,183.84,189.878,183.52,187.49,187.49,1145186,1145186,3.65,1.99,187.06,"February 16, 16",0.0199
2016-02-12,183.13,184.73,181.33,182.65,182.65,675082,675082,-0.48,-0.26211,183.09,"February 12, 16",-0.0026211
2016-02-11,178.22,182.91,177.26,180.45,180.45,777776,777776,2.23,1.25,180.33,"February 11, 16",0.0125
2016-02-10,178.94,185.41,178.35,182.1,182.1,967384,967384,3.16,1.77,182.49,"February 10, 16",0.0177
2016-02-09,181.21,182.84,176.63,177.12,177.12,1685811,1685811,-4.09,-2.26,178.6,"February 09, 16",-0.0226
2016-02-08,181.44,185.06,180.41,183.74,183.74,1792446,1792446,2.3,1.27,182.71,"February 08, 16",0.0127
2016-02-05,196.9,198.76,184.67,187.22,187.22,1844290,1844290,-9.68,-4.92,188.98,"February 05, 16",-0.0492
2016-02-04,193.48,198.96,192.0,197.41,197.41,1164416,1164416,3.93,2.03,196.94,"February 04, 16",0.0203
2016-02-03,196.23,196.84,190.07,194.7,194.7,1429351,1429351,-1.53,-0.7797,194.01,"February 03, 16",-0.007797
2016-02-02,203.73,203.83,192.78,194.29,194.29,1658226,1658226,-9.44,-4.63,197.15,"February 02, 16",-0.0463
2016-02-01,200.0,209.34,198.86,206.56,206.56,1502910,1502910,6.56,3.28,206.24,"February 01, 16",0.0328
2016-01-29,199.55,215.79,199.09,199.79,199.79,2661892,2661892,0.24,0.12027,205.39,"January 29, 16",0.0012027
2016-01-28,226.1,231.4,197.83,199.0,199.0,3380893,3380893,-27.1,-11.99,210.18,"January 28, 16",-0.1199
2016-01-27,249.14,253.07,245.64,246.8,246.8,757754,757754,-2.34,-0.93923,248.8,"January 27, 16",-0.0093923
2016-01-26,246.05,250.82,243.615,249.6,249.6,931092,931092,3.55,1.44,248.02,"January 26, 16",0.0144
2016-01-25,248.58,249.67,244.6,245.39,245.39,488755,488755,-3.19,-1.28,246.37,"January 25, 16",-0.0128
2016-01-22,252.6,254.41,247.7005,249.22,249.22,647058,647058,-3.38,-1.34,249.92,"January 22, 16",-0.0134
2016-01-21,247.01,252.96,245.71,248.81,248.81,509941,509941,1.8,0.72872,250.14,"January 21, 16",0.0072872
2016-01-20,247.22,249.085,237.1,246.97,246.97,719268,719268,-0.25,-0.10112,244.55,"January 20, 16",-0.0010112
2016-01-19,255.21,257.05,248.49,251.97,251.97,778073,778073,-3.24,-1.27,252.05,"January 19, 16",-0.0127
2016-01-15,247.21,256.23,247.21,251.28,251.28,747896,747896,4.07,1.65,250.99,"January 15, 16",0.0165
2016-01-14,249.05,258.03,247.21,256.24,256.24,825114,825114,7.19,2.89,254.32,"January 14, 16",0.0289
2016-01-13,258.69,258.69,247.71,248.59,248.59,496090,496090,-10.1,-3.9,251.98,"January 13, 16",-0.039
2016-01-12,255.64,258.19,251.67,257.29,257.29,457667,457667,1.65,0.64544,254.66,"January 12, 16",0.0064544
2016-01-11,257.27,258.02,250.98,253.12,253.12,825022,825022,-4.15,-1.61,254.13,"January 11, 16",-0.0161
2016-01-08,263.02,264.37,256.75,257.01,257.01,583663,583663,-6.01,-2.28,259.51,"January 08, 16",-0.0228
2016-01-07,266.94,269.98,261.535,262.03,262.03,605066,605066,-4.91,-1.84,264.47,"January 07, 16",-0.0184
2016-01-06,271.32,274.6,269.18,270.18,270.18,515089,515089,-1.14,-0.42017,270.42,"January 06, 16",-0.0042017
2016-01-05,272.45,275.94,271.4,274.05,274.05,363060,363060,1.6,0.58726,274.13,"January 05, 16",0.0058726
2016-01-04,271.16,272.15,268.99,271.71,271.71,477529,477529,0.55,0.20283,270.37,"January 04, 16",0.0020283
2015-12-31,275.42,279.89,275.0001,276.57,276.57,267060,267060,1.15,0.41754,276.78,"December 31, 15",0.0041754
2015-12-30,279.73,279.73,276.18,276.77,276.77,196044,196044,-2.96,-1.06,277.31,"December 30, 15",-0.0106
2015-12-29,280.0,280.945,277.395,280.3,280.3,163396,163396,0.3,0.10714,279.86,"December 29, 15",0.0010714
2015-12-28,276.98,278.53,275.41,278.14,278.14,134190,134190,1.16,0.4188,276.78,"December 28, 15",0.004188
2015-12-24,278.22,279.98,276.5,278.2,278.2,98456,98456,-0.02,-0.00718856,277.98,"December 24, 15",-7.18856e-05
